region,product_name,total_sales,profit_margin
Maine,A. Datum Compact Digital Camera M200 Black,129.00,69.68
Martinique,A. Datum Compact Digital Camera M200 Green,129.00,69.68
Saarland,A. Datum Compact Digital Camera M200 Green,258.00,139.36
Ayrshire,A. Datum Compact Digital Camera M200 Pink,387.00,209.04
Hessen,A. Datum Compact Digital Camera M200 Pink,258.00,139.36
Victoria,A. Datum Compact Digital Camera M200 Silver,258.00,139.36
Nunavut,A. Datum Consumer Digital Camera E100 Azure,281.00,137.74
Arkansas,A. Datum Consumer Digital Camera E100 Black,1405.00,688.70
Victoria,A. Datum Consumer Digital Camera E100 Green,562.00,275.48
Fermanagh,A. Datum Consumer Digital Camera E100 Grey,562.00,275.48
Iowa,A. Datum Consumer Digital Camera E100 Orange,281.00,137.74
New Hampshire,A. Datum Consumer Digital Camera E100 Orange,843.00,413.22
Sachsen-Anhalt,A. Datum Consumer Digital Camera E100 Orange,1686.00,826.44
Groningen,A. Datum Consumer Digital Camera E100 Pink,562.00,275.48
Hessen,A. Datum Consumer Digital Camera E100 Silver,1405.00,688.70
Sachsen-Anhalt,A. Datum Consumer Digital Camera E100 Silver,281.00,137.74
Online,A. Datum Consumer Digital Camera M300 Black,2952.00,1594.56
Northwest Territories,A. Datum Consumer Digital Camera M300 Grey,553.50,298.98
Montana,A. Datum Consumer Digital Camera M300 Pink,553.50,298.98
North Down,A. Datum Consumer Digital Camera M300 Silver,369.00,199.32
Dungannon and South Tyrone,A. Datum Full Frame Digital Camera X300 Black,1617.00,1081.29
Northwest Territories,A. Datum Full Frame Digital Camera X300 Black,231.00,154.47
Dungannon and South Tyrone,A. Datum Full Frame Digital Camera X300 Grey,1155.00,772.35
North Down,A. Datum Full Frame Digital Camera X300 Grey,462.00,308.94
Nunavut,A. Datum Point Shoot Digital Camera M500 Silver Grey,1386.00,748.65
Nevada,A. Datum Rangefinder Digital Camera X200 Black,1000.00,668.70
Northwest Territories,A. Datum Rangefinder Digital Camera X200 Black,1000.00,668.70
Montana,A. Datum Rangefinder Digital Camera X200 Green,800.00,534.96
South Dakota,A. Datum Rangefinder Digital Camera X200 Grey,400.00,267.48
Hawaii,A. Datum Rangefinder Digital Camera X200 Silver,200.00,133.74
Kansas,A. Datum Rangefinder Digital Camera X200 Silver,600.00,401.22
Online,A. Datum Rangefinder Digital Camera X200 Silver,1000.00,668.70
La Réunion,A. Datum Slim Digital Camera M180 Azure,148.00,79.94
New Hampshire,A. Datum Slim Digital Camera M180 Azure,444.00,239.82
Idaho,A. Datum Slim Digital Camera M180 Green,1036.00,559.58
Nevada,A. Datum Slim Digital Camera M180 Green,444.00,239.82
Berlin,"A. Datum SLR Camera 35"" M358 Black",2366.00,1277.99
Wyoming,"A. Datum SLR Camera 35"" M358 Gold",1014.00,547.71
Hessen,"A. Datum SLR Camera 35"" M358 Orange",1014.00,547.71
Hamburg,"A. Datum SLR Camera 35"" M358 Silver Grey",676.00,365.14
North Down,"A. Datum SLR Camera 35"" X358 Blue",1176.00,786.36
New Hampshire,"A. Datum SLR Camera 35"" X358 Grey",1176.00,786.36
Washington DC,"A. Datum SLR Camera 35"" X358 Orange",4116.00,2752.26
Berlin,"A. Datum SLR Camera 35"" X358 Pink",588.00,393.18
Iowa,"A. Datum SLR Camera 35"" X358 Pink",1764.00,1179.54
Newfoundland and Labrador,"A. Datum SLR Camera 35"" X358 Pink",5880.00,3931.80
Pesaro,"A. Datum SLR Camera 35"" X358 Pink",1176.00,786.36
Corse,"A. Datum SLR Camera 35"" X358 Silver Grey",1176.00,786.36
Online,"A. Datum SLR Camera 35"" X358 Silver Grey",7056.00,4718.16
Western Australia,"A. Datum SLR Camera 35"" X358 Silver Grey",588.00,393.18
New Mexico,A. Datum SLR Camera M138 Silver Grey,2184.00,1179.64
Belfast,A. Datum SLR Camera M140 Pink,936.00,505.56
Northwest Territories,A. Datum SLR Camera M141 Blue,312.00,168.52
Victoria,A. Datum SLR Camera M142 Orange,312.00,168.52
Nebraska,A. Datum SLR Camera X135 Black,1254.00,838.52
South Carolina,A. Datum SLR Camera X135 Black,1881.00,1257.78
Maine,A. Datum SLR Camera X138 Silver Grey,2508.00,1677.04
South Dakota,A. Datum SLR Camera X139 Gold,2508.00,1677.04
Arkansas,A. Datum SLR Camera X140 Pink,1881.00,1257.78
Washington DC,A. Datum SLR Camera X140 Pink,1254.00,838.52
Pesaro,A. Datum SLR-like Digital Camera M400 Black,393.80,212.70
West Virginia,A. Datum SLR-like Digital Camera M400 Green,590.70,319.05
Belfast,A. Datum SLR-like Digital Camera M400 Grey,196.90,106.35
New Mexico,A. Datum SLR-like Digital Camera M400 Grey,1181.40,638.10
Wyoming,A. Datum SLR-like Digital Camera M400 Pink,196.90,106.35
Hawaii,A. Datum SLR-like Digital Camera M400 Silver,787.60,425.40
North Down,A. Datum Super-zoom Digital Camera X300 Green,580.00,387.84
Nunavut,A. Datum Super-zoom Digital Camera X300 Grey,2030.00,1357.44
Armagh,A. Datum Super-zoom Digital Camera X300 Silver,290.00,193.92
Alaska,A. Datum Ultra Compact Digital Camera M190 Azure,1485.00,802.08
Martinique,A. Datum Ultra Compact Digital Camera M190 Black,165.00,89.12
Armagh,A. Datum Ultra Compact Digital Camera M190 Grey,330.00,178.24
Hessen,A. Datum Ultra Compact Digital Camera M190 Grey,330.00,178.24
Nebraska,A. Datum Ultra Compact Digital Camera M190 Silver,825.00,445.60
Friesland,"Adventure Works 13"" Color TV E25 Silver",239.98,117.64
Berlin,"Adventure Works 15.6"" LCD TV M130W Brown",899.97,441.15
Freistaat Thüringen,"Adventure Works 15.6"" LCD TV M130W Silver",4499.85,2205.75
Montana,"Adventure Works 15.6"" LCD TV M130W Silver",899.97,441.15
Groningen,"Adventure Works 15.6"" LCD TV M130W White",599.98,294.10
Enna,"Adventure Works 19"" Color Digital TV E35 Black",286.80,140.58
Flevoland,"Adventure Works 19"" Color Digital TV E35 Black",717.00,351.45
Groningen,A. Datum Slim Digital Camera M180 Green,296.00,159.88
Pesaro,A. Datum Slim Digital Camera M180 Grey,148.00,79.94
West Virginia,A. Datum Slim Digital Camera M180 Pink,148.00,79.94
Wyoming,"A. Datum SLR Camera 35"" M358 Blue",3380.00,1825.70
Alaska,"A. Datum SLR Camera 35"" M358 Gold",676.00,365.14
Iowa,"A. Datum SLR Camera 35"" M358 Grey",1690.00,912.85
Online,"A. Datum SLR Camera 35"" M358 Grey",3718.00,2008.27
Nebraska,"A. Datum SLR Camera 35"" M358 Orange",338.00,182.57
Western Australia,"A. Datum SLR Camera 35"" M358 Orange",2028.00,1095.42
Pesaro,"A. Datum SLR Camera 35"" X358 Gold",2940.00,1965.90
Pesaro,"A. Datum SLR Camera 35"" X358 Orange",1176.00,786.36
Oregon,"A. Datum SLR Camera 35"" X358 Pink",588.00,393.18
Victoria,"A. Datum SLR Camera 35"" X358 Pink",4116.00,2752.26
Blaenau Gwent,"A. Datum SLR Camera 35"" X358 Silver",2352.00,1572.72
North Down,"A. Datum SLR Camera 35"" X358 Silver",1176.00,786.36
Idaho,A. Datum SLR Camera M135 Black,936.00,505.56
Berlin,A. Datum SLR Camera M142 Orange,1248.00,674.08
Nevada,A. Datum SLR Camera X136 Silver,1281.00,856.59
Alaska,A. Datum SLR Camera X138 Silver Grey,3135.00,2096.30
Saarland,A. Datum SLR Camera X138 Silver Grey,2508.00,1677.04
La Réunion,A. Datum SLR Camera X140 Pink,1254.00,838.52
Newfoundland and Labrador,A. Datum SLR Camera X140 Pink,4389.00,2934.82
West Virginia,A. Datum SLR Camera X140 Pink,627.00,419.26
Western Australia,A. Datum SLR Camera X140 Pink,1881.00,1257.78
Armagh,A. Datum SLR Camera X141 Blue,1281.00,856.59
Connecticut,A. Datum SLR Camera X141 Blue,2989.00,1998.71
Alaska,A. Datum SLR Camera X142 Orange,427.00,285.53
Connecticut,A. Datum SLR-like Digital Camera M400 Azure,196.90,106.35
Nevada,A. Datum SLR-like Digital Camera M400 Green,196.90,106.35
Connecticut,A. Datum SLR-like Digital Camera M400 Grey,393.80,212.70
Online,A. Datum SLR-like Digital Camera M400 Silver,1378.30,744.45
Freistaat Thüringen,A. Datum Super-zoom Digital Camera X300 Azure,870.00,581.76
Friesland,A. Datum Super-zoom Digital Camera X300 Black,580.00,387.84
Maine,A. Datum Super-zoom Digital Camera X300 Black,870.00,581.76
Northwest Territories,A. Datum Super-zoom Digital Camera X300 Silver,290.00,193.92
Nunavut,A. Datum Super-zoom Digital Camera X300 Silver,2320.00,1551.36
Idaho,A. Datum Ultra Compact Digital Camera M190 Azure,990.00,534.72
Basse-Normandie,A. Datum Ultra Compact Digital Camera M190 Grey,825.00,445.60
Nunavut,A. Datum Ultra Compact Digital Camera M190 Grey,495.00,267.36
Arkansas,"Adventure Works 13"" Color TV E25 Silver",1319.89,647.02
Maine,"Adventure Works 13"" Color TV E25 Silver",239.98,117.64
New Hampshire,"Adventure Works 13"" Color TV E25 Silver",239.98,117.64
Brandenburg,"Adventure Works 13"" Color TV E25 White",1679.86,823.48
Friesland,"Adventure Works 13"" Color TV E25 White",239.98,117.64
Hawaii,"Adventure Works 13"" Color TV E25 White",1439.88,705.84
Idaho,"Adventure Works 15.6"" LCD TV M130W Black",599.98,294.10
Nevada,"Adventure Works 15.6"" LCD TV M130W Black",2699.91,1323.45
Groningen,"Adventure Works 15.6"" LCD TV M130W Brown",599.98,294.10
Idaho,"Adventure Works 15.6"" LCD TV M130W Brown",899.97,441.15
Iowa,"Adventure Works 15.6"" LCD TV M130W Silver",2099.93,1029.35
Northwest Territories,"Adventure Works 15.6"" LCD TV M130W Silver",2699.91,1323.45
Northwest Territories,"Adventure Works 15.6"" LCD TV M130W White",1199.96,588.20
Drenthe,"Adventure Works 19"" Color Digital TV E35 Black",430.20,210.87
Idaho,"Adventure Works 19"" Color Digital TV E35 Black",1147.20,562.32
Online,"Adventure Works 19"" Color Digital TV E35 Black",5305.80,2600.73
Victoria,"Adventure Works 19"" Color Digital TV E35 Black",717.00,351.45
New Hampshire,"Adventure Works 19"" Color Digital TV E35 Brown",143.40,70.29
Pesaro,"Adventure Works 19"" Color Digital TV E35 Brown",143.40,70.29
Washington DC,A. Datum Point n' Shoot Digital Camera M500 Azure,792.00,427.80
Connecticut,A. Datum Point Shoot Digital Camera M500 Green,396.00,213.90
New Mexico,A. Datum Point Shoot Digital Camera M500 Green,198.00,106.95
Nevada,A. Datum Point Shoot Digital Camera M500 Orange,594.00,320.85
North Down,A. Datum Point Shoot Digital Camera M500 Orange,396.00,213.90
Sachsen-Anhalt,A. Datum Point Shoot Digital Camera M500 Orange,198.00,106.95
Victoria,A. Datum Point Shoot Digital Camera M500 Silver,594.00,320.85
Alaska,A. Datum Point Shoot Digital Camera M500 Silver Grey,396.00,213.90
South Dakota,A. Datum Rangefinder Digital Camera X200 Azure,400.00,267.48
Online,A. Datum Rangefinder Digital Camera X200 Orange,3400.00,2273.58
Armagh,A. Datum Slim Digital Camera M180 Azure,740.00,399.70
Iowa,A. Datum Slim Digital Camera M180 Black,444.00,239.82
Arkansas,A. Datum Slim Digital Camera M180 Green,444.00,239.82
Iowa,A. Datum Slim Digital Camera M180 Green,888.00,479.64
Nebraska,A. Datum Slim Digital Camera M180 Green,296.00,159.88
Hamburg,A. Datum Slim Digital Camera M180 Grey,148.00,79.94
Northwest Territories,A. Datum Slim Digital Camera M180 Pink,888.00,479.64
Online,A. Datum Slim Digital Camera M180 Pink,3256.00,1758.68
Arkansas,"A. Datum SLR Camera 35"" M358 Blue",338.00,182.57
Online,"A. Datum SLR Camera 35"" M358 Orange",7098.00,3833.97
Freie Hansestadt Bremen,"A. Datum SLR Camera 35"" M358 Silver Grey",338.00,182.57
Ayrshire,"A. Datum SLR Camera 35"" X358 Black",5880.00,3931.80
Connecticut,"A. Datum SLR Camera 35"" X358 Black",1176.00,786.36
Victoria,"A. Datum SLR Camera 35"" X358 Black",4116.00,2752.26
North Down,"A. Datum SLR Camera 35"" X358 Gold",2940.00,1965.90
Ayrshire,"A. Datum SLR Camera 35"" X358 Grey",2940.00,1965.90
Online,"A. Datum SLR Camera 35"" X358 Orange",3528.00,2359.08
New Hampshire,"A. Datum SLR Camera 35"" X358 Silver",2940.00,1965.90
Armagh,"A. Datum SLR Camera 35"" X358 Silver Grey",2352.00,1572.72
Nebraska,A. Datum SLR Camera M136 Silver,312.00,168.52
Arkansas,A. Datum SLR Camera M137 Grey,624.00,337.04
Franche-Comté,A. Datum SLR Camera M138 Silver Grey,936.00,505.56
Online,A. Datum SLR Camera M138 Silver Grey,936.00,505.56
Friesland,A. Datum SLR Camera M139 Gold,312.00,168.52
Montana,A. Datum SLR Camera M139 Gold,624.00,337.04
Nebraska,A. Datum SLR Camera M141 Blue,312.00,168.52
South Dakota,A. Datum SLR Camera M141 Blue,3120.00,1685.20
South Carolina,A. Datum SLR Camera M142 Orange,624.00,337.04
New Mexico,A. Datum SLR Camera X135 Black,627.00,419.26
Berlin,A. Datum SLR Camera X136 Silver,1281.00,856.59
Nebraska,A. Datum SLR Camera X136 Silver,854.00,571.06
Pesaro,A. Datum SLR Camera X136 Silver,1281.00,856.59
South Carolina,A. Datum SLR Camera X138 Silver Grey,1881.00,1257.78
Pesaro,A. Datum SLR Camera X139 Gold,3135.00,2096.30
Arkansas,A. Datum SLR Camera X142 Orange,3843.00,2569.77
Enna,A. Datum SLR Camera X142 Orange,854.00,571.06
North Down,A. Datum SLR-like Digital Camera M400 Azure,393.80,212.70
Enna,A. Datum SLR-like Digital Camera M400 Black,196.90,106.35
Hessen,A. Datum SLR-like Digital Camera M400 Orange,393.80,212.70
Oregon,A. Datum SLR-like Digital Camera M400 Orange,196.90,106.35
South Carolina,A. Datum SLR-like Digital Camera M400 Orange,787.60,425.40
Sachsen-Anhalt,A. Datum SLR-like Digital Camera M400 Pink,393.80,212.70
South Carolina,A. Datum SLR-like Digital Camera M400 Pink,393.80,212.70
Victoria,A. Datum SLR-like Digital Camera M400 Silver,1378.30,744.45
Drenthe,A. Datum Super-zoom Digital Camera X300 Azure,870.00,581.76
Hawaii,A. Datum Super-zoom Digital Camera X300 Orange,1740.00,1163.52
Online,A. Datum Super-zoom Digital Camera X300 Orange,2900.00,1939.20
Utah,A. Datum Super-zoom Digital Camera X300 Silver,580.00,387.84
Armagh,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,1072.00,716.84
Online,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,4556.00,3046.57
Oregon,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,268.00,179.21
Belfast,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver,804.00,537.63
Ayrshire,A. Datum Point n' Shoot Digital Camera M500 Azure,198.00,106.95
Dungannon and South Tyrone,A. Datum Point n' Shoot Digital Camera M500 Azure,990.00,534.75
Nunavut,A. Datum Point n' Shoot Digital Camera M500 Azure,198.00,106.95
Blaenau Gwent,A. Datum Point n' Shoot Digital Camera M500 Grey,396.00,213.90
Sachsen-Anhalt,A. Datum Point n' Shoot Digital Camera M500 Grey,396.00,213.90
Iowa,A. Datum Point Shoot Digital Camera M500 Green,1584.00,855.60
Online,A. Datum Point Shoot Digital Camera M500 Silver,198.00,106.95
Maine,A. Datum Rangefinder Digital Camera X200 Azure,1400.00,936.18
Newfoundland and Labrador,A. Datum Rangefinder Digital Camera X200 Azure,800.00,534.96
Western Australia,A. Datum Rangefinder Digital Camera X200 Azure,200.00,133.74
South Carolina,A. Datum Rangefinder Digital Camera X200 Black,600.00,401.22
Online,A. Datum Rangefinder Digital Camera X200 Green,1800.00,1203.66
West Virginia,A. Datum Rangefinder Digital Camera X200 Green,1400.00,936.18
New Mexico,A. Datum Rangefinder Digital Camera X200 Grey,200.00,133.74
Hamburg,A. Datum Rangefinder Digital Camera X200 Orange,1200.00,802.44
Hamburg,A. Datum Rangefinder Digital Camera X200 Pink,200.00,133.74
Freistaat Thüringen,A. Datum Rangefinder Digital Camera X200 Silver,600.00,401.22
Nevada,A. Datum Rangefinder Digital Camera X200 Silver,1000.00,668.70
Northwest Territories,A. Datum Slim Digital Camera M180 Azure,148.00,79.94
South Carolina,A. Datum Slim Digital Camera M180 Black,888.00,479.64
Ayrshire,A. Datum Slim Digital Camera M180 Green,592.00,319.76
Victoria,A. Datum Slim Digital Camera M180 Pink,444.00,239.82
Ayrshire,"A. Datum SLR Camera 35"" M358 Black",338.00,182.57
Ayrshire,"A. Datum SLR Camera 35"" M358 Gold",2028.00,1095.42
Online,"A. Datum SLR Camera 35"" M358 Gold",3042.00,1643.13
South Carolina,"A. Datum SLR Camera 35"" M358 Gold",3380.00,1825.70
Montana,"A. Datum SLR Camera 35"" M358 Pink",2028.00,1095.42
Online,"A. Datum SLR Camera 35"" M358 Silver",7098.00,3833.97
Corse,"A. Datum SLR Camera 35"" M358 Silver Grey",1352.00,730.28
Western Australia,"A. Datum SLR Camera 35"" M358 Silver Grey",1352.00,730.28
Newfoundland and Labrador,"A. Datum SLR Camera 35"" X358 Black",1764.00,1179.54
Pesaro,"A. Datum SLR Camera 35"" X358 Blue",2940.00,1965.90
Oregon,"A. Datum SLR Camera 35"" X358 Gold",4116.00,2752.26
Connecticut,"A. Datum SLR Camera 35"" X358 Grey",1176.00,786.36
Hessen,"A. Datum SLR Camera 35"" X358 Grey",2940.00,1965.90
South Carolina,"A. Datum SLR Camera 35"" X358 Grey",588.00,393.18
Armagh,A. Datum SLR Camera M135 Black,1248.00,674.08
Hessen,A. Datum SLR Camera M135 Black,312.00,168.52
Kansas,A. Datum SLR Camera M135 Black,936.00,505.56
Sachsen-Anhalt,A. Datum SLR Camera M135 Black,312.00,168.52
South Carolina,A. Datum SLR Camera M135 Black,624.00,337.04
Australian Capital Territory,A. Datum SLR Camera M136 Silver,312.00,168.52
Idaho,A. Datum SLR Camera M136 Silver,312.00,168.52
Iowa,A. Datum SLR Camera M136 Silver,312.00,168.52
Maine,A. Datum SLR Camera M136 Silver,312.00,168.52
Oregon,A. Datum SLR Camera M136 Silver,936.00,505.56
North Down,A. Datum SLR Camera M137 Grey,936.00,505.56
Sachsen-Anhalt,A. Datum SLR Camera M137 Grey,312.00,168.52
South Carolina,A. Datum SLR Camera M137 Grey,624.00,337.04
Oregon,A. Datum SLR Camera M140 Pink,624.00,337.04
Friesland,A. Datum SLR Camera M141 Blue,936.00,505.56
Kansas,A. Datum SLR Camera M141 Blue,312.00,168.52
Ayrshire,A. Datum Super-zoom Digital Camera X300 Pink,580.00,387.84
West Virginia,A. Datum Super-zoom Digital Camera X300 Pink,2900.00,1939.20
Brandenburg,A. Datum Ultra Compact Digital Camera M190 Azure,165.00,89.12
Armagh,A. Datum Ultra Compact Digital Camera M190 Green,495.00,267.36
Iowa,A. Datum Ultra Compact Digital Camera M190 Green,1155.00,623.84
Hawaii,A. Datum Ultra Compact Digital Camera M190 Grey,495.00,267.36
Online,A. Datum Ultra Compact Digital Camera M190 Grey,660.00,356.48
South Dakota,A. Datum Ultra Compact Digital Camera M190 Grey,1320.00,712.96
Connecticut,"Adventure Works 13"" Color TV E25 Black",1799.85,882.30
Idaho,"Adventure Works 13"" Color TV E25 Silver",959.92,470.56
West Virginia,"Adventure Works 13"" Color TV E25 Silver",119.99,58.82
Berlin,"Adventure Works 13"" Color TV E25 White",239.98,117.64
Arkansas,"Adventure Works 15.6"" LCD TV M130W Black",1799.94,882.30
Fermanagh,"Adventure Works 15.6"" LCD TV M130W Black",4499.85,2205.75
North Down,"Adventure Works 15.6"" LCD TV M130W Black",1199.96,588.20
Alaska,"Adventure Works 15.6"" LCD TV M130W Brown",3599.88,1764.60
Connecticut,"Adventure Works 15.6"" LCD TV M130W Silver",899.97,441.15
Hessen,"Adventure Works 15.6"" LCD TV M130W White",299.99,147.05
South Dakota,"Adventure Works 15.6"" LCD TV M130W White",899.97,441.15
Belfast,"Adventure Works 19"" Color Digital TV E35 Brown",573.60,281.16
Dungannon and South Tyrone,"Adventure Works 19"" Color Digital TV E35 Silver",573.60,281.16
Enna,"Adventure Works 19"" Color Digital TV E35 Silver",860.40,421.74
Friesland,"Adventure Works 19"" Color Digital TV E35 Silver",143.40,70.29
New Mexico,"Adventure Works 19"" Color Digital TV E35 Silver",143.40,70.29
Armagh,"Adventure Works 19"" Color Digital TV E35 White",143.40,70.29
Caltanissetta,"Adventure Works 19"" Color Digital TV E35 White",286.80,140.58
North Down,"Adventure Works 19"" Color Digital TV E35 White",286.80,140.58
Oregon,"Adventure Works 19"" Color Digital TV E35 White",143.40,70.29
Online,"Adventure Works 19"" Portable LCD HDTV M110 Black",2799.90,1512.30
Berlin,"Adventure Works 19"" Portable LCD HDTV M110 Silver",1399.95,756.15
Brandenburg,"Adventure Works 19"" Portable LCD HDTV M110 Silver",839.97,453.69
Nebraska,"Adventure Works 19"" Portable LCD HDTV M110 Silver",2519.91,1361.07
Oregon,"Adventure Works 19"" Portable LCD HDTV M110 Silver",279.99,151.23
Freistaat Thüringen,"Adventure Works 20"" Analog CRT TV E45 Black",200.00,98.03
Arkansas,"Adventure Works 20"" Analog CRT TV E45 Silver",2000.00,980.30
Washington DC,"Adventure Works 20"" Analog CRT TV E45 Silver",600.00,294.09
Kansas,"Adventure Works 20"" CRT TV E15 Silver",339.98,166.64
New Mexico,"Adventure Works 20"" CRT TV E15 Silver",169.99,83.32
Alaska,"Adventure Works 20"" CRT TV E15 White",169.99,83.32
Arkansas,"Adventure Works 20"" CRT TV E15 White",169.99,83.32
Maine,"Adventure Works 20"" CRT TV E15 White",1019.94,499.92
Wyoming,"Adventure Works 20"" CRT TV E15 White",1019.94,499.92
Alaska,"Adventure Works 20"" LCD HDTV M120 Black",699.90,378.04
Belfast,"Adventure Works 20"" LCD HDTV M120 Black",1749.75,945.10
Kansas,"Adventure Works 20"" LCD HDTV M120 Brown",1049.85,567.06
Freistaat Thüringen,"Adventure Works 20"" LCD HDTV M120 Silver",2799.60,1512.16
Hessen,"Adventure Works 20"" LCD HDTV M120 Silver",349.95,189.02
Montana,"Adventure Works 20"" LCD HDTV M120 Silver",349.95,189.02
Sachsen-Anhalt,"Adventure Works 20"" LCD HDTV M120 Silver",1049.85,567.06
Fermanagh,"Adventure Works 26"" 720p LCD HDTV M140 Black",939.94,507.70
Freie Hansestadt Bremen,"Adventure Works 26"" 720p LCD HDTV M140 Brown",939.94,507.70
North Down,"Adventure Works 26"" 720p LCD HDTV M140 Brown",1409.91,761.55
Utah,"Adventure Works 26"" 720p LCD HDTV M140 Brown",469.97,253.85
Drenthe,"Adventure Works 26"" 720p LCD HDTV M140 Silver",469.97,253.85
Nevada,"Adventure Works 26"" 720p LCD HDTV M140 Silver",469.97,253.85
Belfast,A. Datum Point Shoot Digital Camera M500 Silver,396.00,213.90
Wyoming,A. Datum Point Shoot Digital Camera M500 Silver,198.00,106.95
Maine,A. Datum Point Shoot Digital Camera M500 Silver Grey,990.00,534.75
Online,A. Datum Point Shoot Digital Camera M500 Silver Grey,1782.00,962.55
Arkansas,A. Datum Rangefinder Digital Camera X200 Azure,200.00,133.74
Berlin,A. Datum Rangefinder Digital Camera X200 Azure,1200.00,802.44
Northern Territory,A. Datum Rangefinder Digital Camera X200 Black,400.00,267.48
Nebraska,A. Datum Rangefinder Digital Camera X200 Green,200.00,133.74
Oregon,A. Datum Rangefinder Digital Camera X200 Orange,600.00,401.22
Online,A. Datum Rangefinder Digital Camera X200 Pink,1200.00,802.44
Online,A. Datum Slim Digital Camera M180 Black,3108.00,1678.74
Arkansas,A. Datum Slim Digital Camera M180 Grey,592.00,319.76
Online,A. Datum Slim Digital Camera M180 Grey,2220.00,1199.10
Flevoland,A. Datum Slim Digital Camera M180 Pink,148.00,79.94
Hawaii,A. Datum Slim Digital Camera M180 Silver,148.00,79.94
Maine,A. Datum Slim Digital Camera M180 Silver,592.00,319.76
Online,A. Datum Slim Digital Camera M180 Silver,888.00,479.64
Brandenburg,"A. Datum SLR Camera 35"" M358 Black",1014.00,547.71
Maine,"A. Datum SLR Camera 35"" M358 Black",338.00,182.57
Iowa,"A. Datum SLR Camera 35"" M358 Orange",676.00,365.14
Berlin,"A. Datum SLR Camera 35"" M358 Pink",338.00,182.57
Hessen,"A. Datum SLR Camera 35"" M358 Silver",676.00,365.14
Online,"A. Datum SLR Camera 35"" M358 Silver Grey",2704.00,1460.56
Montana,"A. Datum SLR Camera 35"" X358 Blue",1176.00,786.36
South Carolina,"A. Datum SLR Camera 35"" X358 Blue",4704.00,3145.44
Alaska,"A. Datum SLR Camera 35"" X358 Grey",2352.00,1572.72
Northwest Territories,"A. Datum SLR Camera 35"" X358 Grey",2352.00,1572.72
Utah,"A. Datum SLR Camera 35"" X358 Grey",1764.00,1179.54
Freistaat Thüringen,"A. Datum SLR Camera 35"" X358 Silver",1764.00,1179.54
Iowa,"A. Datum SLR Camera 35"" X358 Silver Grey",588.00,393.18
Drenthe,A. Datum SLR Camera M135 Black,2184.00,1179.64
Online,A. Datum SLR Camera M137 Grey,9984.00,5392.64
Dungannon and South Tyrone,A. Datum SLR Camera M138 Silver Grey,936.00,505.56
Hawaii,A. Datum SLR Camera M138 Silver Grey,1872.00,1011.12
Washington DC,A. Datum SLR Camera M138 Silver Grey,1248.00,674.08
Western Australia,A. Datum SLR Camera M138 Silver Grey,312.00,168.52
Nevada,A. Datum SLR Camera M139 Gold,1872.00,1011.12
New Mexico,A. Datum SLR Camera M139 Gold,2184.00,1179.64
Hamburg,A. Datum SLR Camera M141 Blue,312.00,168.52
Iowa,A. Datum SLR Camera M141 Blue,312.00,168.52
Arkansas,A. Datum SLR Camera X137 Grey,3762.00,2515.56
Maine,A. Datum SLR Camera X137 Grey,1254.00,838.52
Sachsen-Anhalt,A. Datum SLR Camera X139 Gold,3762.00,2515.56
Nevada,A. Datum SLR Camera X141 Blue,427.00,285.53
South Carolina,A. Datum SLR Camera X141 Blue,2135.00,1427.65
Freie Hansestadt Bremen,A. Datum SLR Camera X142 Orange,427.00,285.53
Online,A. Datum SLR Camera X142 Orange,4697.00,3140.83
Freie Hansestadt Bremen,A. Datum SLR-like Digital Camera M400 Azure,787.60,425.40
Connecticut,A. Datum SLR-like Digital Camera M400 Black,787.60,425.40
Kansas,A. Datum SLR-like Digital Camera M400 Grey,1181.40,638.10
Pesaro,A. Datum Super-zoom Digital Camera X300 Azure,290.00,193.92
Kansas,A. Datum Super-zoom Digital Camera X300 Grey,2030.00,1357.44
Pesaro,A. Datum Super-zoom Digital Camera X300 Grey,580.00,387.84
Nevada,A. Datum Super-zoom Digital Camera X300 Pink,870.00,581.76
Blaenau Gwent,A. Datum Super-zoom Digital Camera X300 Silver,1740.00,1163.52
Drenthe,A. Datum Ultra Compact Digital Camera M190 Azure,165.00,89.12
Connecticut,A. Datum Ultra Compact Digital Camera M190 Black,1155.00,623.84
Victoria,A. Datum Ultra Compact Digital Camera M190 Black,330.00,178.24
Online,A. Datum Ultra Compact Digital Camera M190 Silver,2970.00,1604.16
Online,"Adventure Works 13"" Color TV E25 Black",3479.71,1705.78
Fermanagh,"Adventure Works 13"" Color TV E25 Silver",119.99,58.82
Hessen,"Adventure Works 13"" Color TV E25 Silver",479.96,235.28
Montana,"Adventure Works 13"" Color TV E25 Silver",839.93,411.74
Connecticut,"Adventure Works 13"" Color TV E25 White",479.96,235.28
Dungannon and South Tyrone,"Adventure Works 13"" Color TV E25 White",119.99,58.82
Wyoming,"Adventure Works 13"" Color TV E25 White",359.97,176.46
Australian Capital Territory,"Adventure Works 15.6"" LCD TV M130W Black",899.97,441.15
Connecticut,"Adventure Works 15.6"" LCD TV M130W Black",599.98,294.10
Nunavut,"Adventure Works 15.6"" LCD TV M130W Black",299.99,147.05
